"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"677","677","Masias EO 204","-12.0910397","-77.0253697","","","0","","America/Lima","0"
"678","678","Orquideas EO 204","-12.0914047","-77.0279377","","","0","","America/Lima","0"
"679","679","Salaverry EO 204","-12.09313","-77.05292","","","0","","America/Lima","0"
"325220","325220","CLE102","-12.0188611","-77.0283694","","","0","","America/Lima","0"
"325224","325224","PASAJE","-12.0093","-77.0344694","","","0","","America/Lima","0"
"325225","325225","MONAC","-12.0076111","-77.0358888","","","0","","America/Lima","0"
"500439","500439","CALLE 15","-11.9431558","-76.9757133","","","0","","America/Lima","0"
"680","680","Escobedo EO 204","-12.09018","-77.0573397","","","0","","America/Lima","0"
"681","681","Sauces OE 204","-12.0930097","-77.03794","","","0","","America/Lima","0"
"682","682","Arenales OE 204","-12.0925997","-77.0347197","","","0","","America/Lima","0"
"683","683","Rafael Escado OE 204","-12.0774","-77.09367","","","0","","America/Lima","0"
"684","684","Parque de las Leyendas OE 204","-12.0782297","-77.0880997","","","0","","America/Lima","0"
"200","200","Benavides - SN","-12.1314738","-76.9781377","","","0","","America/Lima","0"
"201","201","Primavera - SN","-12.1119841","-76.9778375","","","0","","America/Lima","0"
"685","685","Orquideas OE 204","-12.0916997","-77.0284097","","","0","","America/Lima","0"
"202","202","Hipodromo - SN","-12.09323","-76.9804","","","0","","America/Lima","0"
"686","686","Masias OE 204","-12.0914","-77.0261897","","","0","","America/Lima","0"
"687","687","Guardia Civil OE 204","-12.0888797","-77.0079197","","","0","","America/Lima","0"
"203","203","Javier Prado - SN","-12.0835441","-76.9804713","","","0","","America/Lima","0"
"688","688","Aviacion OE 204","-12.08852","-77.0047297","","","0","","America/Lima","0"
"204","204","Puente Santa Rosa - SN","-12.0645019","-76.9711375","","","0","","America/Lima","0"
"205","205","Puente Santa Anita - SN","-12.0596391","-76.9726019","","","0","","America/Lima","0"
"689","689","Universidad de Lima OE 204","-12.0838063","-76.9719044","","","0","","America/Lima","0"
"206","206","Puente Azul - SN","-12.0507677","-76.9770705","","","0","","America/Lima","0"
"207","207","Perales - SN","-12.0477197","-76.9804297","","","0","","America/Lima","0"
"208","208","Atarjea - SN","-12.0414558","-76.9870266","","","0","","America/Lima","0"
"209","209","Puente Nuevo - SN","-12.02932","-76.9989497","","","0","","America/Lima","0"
"690","690","Camacho OE 204","-12.0815297","-76.9672427","","","0","","America/Lima","0"
"691","691","Embajada EO 204","-12.095033","-77.0538016","","","0","","America/Lima","0"
"692","692","Juan de Aliaga EO 204","-12.0934163","-77.0589811","","","0","","America/Lima","0"
"693","693","Gonzales Prada EO 204","-12.091458","-77.0637825","","","0","","America/Lima","0"
"694","694","Brasil EO 204","-12.0900455","-77.0655725","","","0","","America/Lima","0"
"695","695","Junin EO 204","-12.089098","-77.0683483","","","0","","America/Lima","0"
"696","696","Libertad EO 204","-12.0837452","-77.0661933","","","0","","America/Lima","0"
"213","213","Acho - OE","-12.0426675","-77.0226144","","","0","","America/Lima","0"
"697","697","Brasil OE 204","-12.0902075","-77.0657266","","","0","","America/Lima","0"
"214","214","Control - SN","-12.0332397","-77.0535397","","","0","","America/Lima","0"
"698","698","Gonzales Prada OE 204","-12.0912783","-77.0643933","","","0","","America/Lima","0"
"699","699","Juan de Aliaga OE 204","-12.0935405","-77.0596286","","","0","","America/Lima","0"
"215","215","Habich - SN","-12.0300502","-77.0569605","","","0","","America/Lima","0"
"325201","325201","SANTOS CHOCANO   -  NS","-12.0241972","-77.0268555","","","0","","America/Lima","0"
"325202","325202","ENCALADA  -  NS","-12.0265027","-77.0284694","","","0","","America/Lima","0"
"325203","325203","ALCAZAR  -  NS","-12.0306027","-77.0294611","","","0","","America/Lima","0"
"222","222","Universitaria - SN","-11.9914","-77.07938","","","0","","America/Lima","0"
"223","223","Los Alisos - SN","-11.9836077","-77.0783188","","","0","","America/Lima","0"
"224","224","Naranjal - SN","-11.9784697","-77.07688","","","0","","America/Lima","0"
"225","225","Huandoy - SN","-11.9766019","-77.0828508","","","0","","America/Lima","0"
"226","226","Canta Callao - SN","-11.9752297","-77.08633","","","0","","America/Lima","0"
"227","227","Mateo Pumacahua - NS","-12.1927597","-76.9616297","","","0","","America/Lima","0"
"228","228","1ero Mayo - NS","-12.19782","-76.9580297","","","0","","America/Lima","0"
"229","229","El Sol - NS","-12.2052897","-76.95363","","","0","","America/Lima","0"
"500929","500929","H. DEL NIÑO","-12.065008","-77.0455161","","","0","","America/Lima","0"
"500928","500928","PLAZA GRAU","-12.0592511","-77.035968","","","0","","America/Lima","0"
"500927","500927","AZCARRU","-12.0157438","-77.0017111","","","0","","America/Lima","0"
"232","232","El Sol - SN","-12.2060469","-76.9526302","","","0","","America/Lima","0"
"233","233","1ero de Mayo - SN","-12.1986797","-76.9570997","","","0","","America/Lima","0"
"234","234","Mateo Pumacahua - SN","-12.1931897","-76.96044","","","0","","America/Lima","0"
"236","236","Los Angeles- EO 209","-12.0343069","-76.9288319","","","0","","America/Lima","0"
"242","242","La mar - EO","-12.075088","-77.0797669","","","0","","America/Lima","0"
"243","243","La mar - OE","-12.0746266","-77.0795736","","","0","","America/Lima","0"
"244","244","America - NS","-12.18397","-76.9751497","","","0","","America/Lima","0"
"245","245","America - SN","-12.1837699","-76.97494","","","0","","America/Lima","0"
"246","246","Mega Plaza - NS","-11.9944","-77.0637497","","","0","","America/Lima","0"
"247","247","Mega Plaza - SN","-11.99496","-77.0630197","","","0","","America/Lima","0"
"248","248","Palao - NS","-12.0221","-77.05928","","","0","","America/Lima","0"
"249","249","Palao - SN","-12.0230997","-77.0586897","","","0","","America/Lima","0"
"250","250","Palmeras - SN","-11.9909997","-77.0712697","","","0","","America/Lima","0"
"251","251","Panamerica - SN","-11.99154","-77.0636097","","","0","","America/Lima","0"
"252","252","Panamericana - NS","-11.9905136","-77.0661788","","","0","","America/Lima","0"
"253","253","Plaza Norte - NS","-12.0074797","-77.0618097","","","0","","America/Lima","0"
"254","254","Plaza Norte - SN","-12.00694","-77.0613","","","0","","America/Lima","0"
"255","255","Santos Chocano - NS","-11.9909097","-77.0688997","","","0","","America/Lima","0"
"256","256","Santos  Chocano - SN","-11.9905897","-77.0686597","","","0","","America/Lima","0"
"257","257","Senati - NS","-11.9986261","-77.0628475","","","0","","America/Lima","0"
"258","258","Senati - SN","-11.99876","-77.06259","","","0","","America/Lima","0"
"259","259","Arriba Peru - NS","-12.2105822","-76.9503502","","","0","","America/Lima","0"
"500938","500938","HÉROES DEL CENEPA","-11.960633","-76.9843069","","","0","","America/Lima","0"
"500937","500937","JR. SANTA ROSA","-12.0513961","-77.0284361","","","0","","America/Lima","0"
"241164","241164","Huallaga","-12.0494088","-77.0274538","","","0","","America/Lima","0"
"241165","241165","Jiron Puno","-12.053068","-77.0295388","","","0","","America/Lima","0"
"500932","500932","DEL PARQUE","-11.977813","-77.003845","","","0","","America/Lima","0"
"500931","500931","CLÍNICA","-11.9589819","-76.9864838","","","0","","America/Lima","0"
"500930","500930","GARCILAZO","-12.060045","-77.03662","","","0","","America/Lima","0"
